,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
1550,4 Bedrooms For Sale!!in Taytay Rizal Greenwoods...Brand New Ready For Occupancy,4.0,4.0,2.0,180.0,120.0,Greenwoods Executive Village - Taytay,block 28 lot 8,2022.0,4.0,15500000
1551,2 Bedrooms For Sale!!!in Antipolo Rizal near Robinson RFO Flood Free...,1.0,2.0,2.0,72.0,46.0,,block 8 lot 8,2010.0,2.0,3800000
1552,"5BR House and Lot for Sale in Ayala Heights with Pool, Quezon City",5.0,5.0,3.0,900.0,400.0,Ayala Heights,,,,150000000
1553,"4-Bedroom House and Lot for Sale in Costa Verde, Roxas City, Capiz",3.0,4.0,,112.0,249.0,Costa Verde - Capiz,,,,6357500
1554,"House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal",3.0,3.0,,118.0,164.0,Sunrise Alexa Subdivision,,,,6680000
1555,"Vivaldi 3BR SA House for Sale at Forest Farms The Grove in Angono, Rizal | Aspire by Filinvest",3.0,3.0,,132.9,405.0,Forest Farms The Grove,Vivaldi (SA),,,12600000
1556,"Bernice SA 1BR House for Sale at Sandia Homes in Brgy. Cale, Tanauan, Batangas | Futura by Filinvest",1.0,1.0,,27.21,60.0,Sandia Homes,Bernice House Model,,,1313700
1557,"M-R-2-124- Acquired Property for Sale in No. 81 (Lot 32, Block 2), Carnation corner Antrium Sts., Garden Royale Villas Subdivision, Brgy. Pinagbuhatan, Pasig City",,,,222.79,80.0,,,,,5036035
1558,"L-R-1-1141:  Acquired Property  for Sale in Lot 697-B, Brgy. Sta. Cruz, Sta. Ana, Cagayan",,,,214.0,1259.0,,,,,1879600
1559,"Foreclosed Property for Sale in Block 12, Lot 17 Tremezzo Avenue, Camella Subd., Brgy. Del Rosario, Naga City",,,,124.5,141.0,,,,,5118720
1560,"V-TH-1-10- Acquired Property for Sale in Lot 19, Block 15, Peony St., Lessandra Heights, Brgy. Jibao-an, Pavia, Iloilo - Retail",,1.0,,39.0,,,,,,941100
1561,Modern house in MCKINLEY HILL near BGC Forbes Park Dasmariñas BelAir San Lorenzo,6.0,6.0,3.0,550.0,251.0,McKinley Hill Village,11,,,125000000
1562,"Brand New House and lot for Sale in Kishanta, Talisay City, Cebu",3.0,4.0,2.0,315.0,200.0,Kishanta Residences,,,,18500000
1563,"649 Sqm Corner Lot with House Inside the Subdivision of Banawa, Cebu City, Cebu",4.0,4.0,3.0,300.0,649.0,Banawa-Guadalupe House Rush Sale,1008,,4.0,30000000
1564,"For Sale North Orchard Single Home in Caysio, Santa Maria, Bulacan ",2.0,3.0,2.0,112.36,80.0,North Orchard,Blk 14 Lot 20,,,5268662
1565,"House and Lot at Manors at Golden Horizon in Trece Martires, Cavite (Louisa)",2.0,3.0,,66.0,96.0,Manors at Golden Horizon,,,,3838919
1566,Brand New Mesmerizing Semi-Furnished Residential Corner House & Lot for sale,3.0,4.0,2.0,263.0,297.0,BF Resort Village,11A,2022.0,,25000000
1567,2 Bedroom House and Lot (Mid) at Phirst Park Homes Calamba,1.0,2.0,,40.0,48.0,Phirst Park Homes Calamba,,,,2113127
1568,"Teacher's Village Quezon City 4 Bedrooms, 4 Toilet and Bath Townhouse For Sale",4.0,4.0,2.0,172.0,72.0,Teacher's Village,,,,13600000
1569,"3 Bedroom Townhouse Unit for Sale at Masinag Townhomes in Antipolo, Cupang",3.0,3.0,,106.0,60.0,,Unit 1B-G,,,6664450
1570,Well Maintained Italian Style House and Lot For Sale in Vista Real Quezon City,5.0,5.0,3.0,400.0,300.0,Vista Real,,2022.0,5.0,43000000
1571,"Foreclose Property  for Sale in Lot 8 Blk 4 Canyon Ranch Subd., Phase 2 Brgy. Lantic, Carmona, Cavite",,,,206.4,299.0,,,,,12941000
1572,Beverly Hills Subdivision 5BR Fully Furnished House for Sale inAntipolo-DS881827,4.0,5.0,6.0,260.0,619.0,Beverly Hills Subdivision - Antipolo,,,,25000000
1573,Portofino Heights 2-Storey Super Cozy House & Lot for Sale in Las Piñas City,4.0,4.0,2.0,264.0,296.0,Portofino Heights,,,,50103000
1574,Captivating Modern 3-Storey House For Sale in Talon Las Piñas,3.0,3.0,1.0,160.0,60.0,,17/06,2022.0,4.0,6528000
1575,"V-TH-1-16:  Acquired Property  for Sale in Lot 34, Block 10, Road Lot 8, Camella Lessandra Subdivision, Brgy. Jibao-an, Pavia, Iloilo",,,,40.0,40.0,,,,,1000000
1576,"3 Bedroom Townhouse for Sale in North Caloocan, Metro Manila",3.0,3.0,1.0,101.0,80.0,Liliesville,,,,5300000
1577,2 Bedroom Storey Townhouse For Sale in Las Piñas,2.0,2.0,1.0,71.0,59.0,Rhonaville Townhomes,,,,4500000
1578,sale 640m2 CORNER comm'l house in BGY MARIBLO QC near FISHER MALL ROOSEVELT AVE,4.0,5.0,,700.0,640.0,,,,,45500000
1579,"L-R-1-1121- Acquired Property for Sale in Lot 2, Block 10, corner of Kahinahunan & Kabutihan Sts., Marescoville Subdivision, Brgy. Sabang, Pagsanjan, Laguna",,,,221.0,126.0,Marescoville Subdivision,"Lot 2, Block 10",,,3921857
1580,Stylish Duplex House And Lot In Bf Homes Paranaque ,4.0,4.0,2.0,200.0,140.0,BF Homes Parañaque,13/13,2021.0,4.0,15700000
1581, Urdaneta Village Makati House For Sale,7.0,6.0,,1200.0,1111.0,Urdaneta Village,,,,650000000
1582,Pre Owned Well Maintained House and Lot BF Homes Parañaque City ,4.0,3.0,2.0,220.0,288.0,BF HOMES,9/7,,3.0,18000000
1583,"House and Lot for Sale in Vermont Park Executive Village, Antipolo",3.0,3.0,,211.0,,Vermont Park Executive Village,,,,8700000
1584,New 2 Car Garage with 3 Bedrooms Townhouse For Sale in Quezon City ,3.0,3.0,2.0,117.0,60.0,Tandang Sora,#87,2021.0,4.0,7400000
1585,For Sale: Brand New 2 Story Single Detached House in BF Resort Village Las Piñas,5.0,5.0,2.0,370.0,263.0,BF Resort Village,#4,,,27000000
1586,"M-R-3-94- Acquired Property for Sale in Unit 501, 5/F, Sapphire Building 1A, Fini Homes Condominium, No. 80, Ramon Delfin St., Brgy. Marulas, Valenzuela City - Sub",,,,41.35,,,,,,2139863
1587,"L-R-1-562- Acquired Property for Sale in Lots 571-A and 571-B, Mabini Street (Old Cagayan Valley Road), Brgy. Tambubong, San Rafael, Bulacan - Retail",,,,300.0,9357.0,,,,,46785000
1588,Brand New 4 Bedroom Townhouse For Sale in Tandang Sora Quezon City ,4.0,4.0,2.0,185.0,78.45,,Unit 11,,,11500000
1589,"4 Bedrooms House and Lot For Sale in Cainta, Rizal - Php 17M",3.0,4.0,2.0,250.0,271.0,,,,,17000000
1590,"Foreclosed Property for Sale in Lot 12-C, No. 122, Sumilang Street, Capistrano Subdivision, Brgy Mateuna, Tayabas City, Province Of Quezon",,,,283.75,191.0,,,,,3943100
1591,"L-R-2-29- Acquired Property for Sale in Unit 13RD-E, 3/F, Grand Quartier 1, Crosswinds Subdivision, Brgy. Iruhin Central, Tagaytay City, Cavite - Retail",,,,83.0,,,,,,9130000
1592,"L-S-1-201604-16- Acquired Property for Sale in Block 10, Lot 8, EMERALD COAST EXECUTIVE VILLAGE, Brgy. Peas/Duale, Limay, Bataan - Sub",,,,111.0,129.0,,,,,2526521
1593,3 Bedrooms House and Lot for sale Bacoor Cavite,2.0,3.0,2.0,158.0,90.0,Victoria Ville,,2021.0,3.0,7855200
1594,"Foreclosed Property for Sale in Lot 1-C-2, Aurora Drive, Vergonville Subdivision, Barangay Pulang Lupa Dos, Las Piñas Citu, Metropolitan Manila",,,,47.0,31.7,,,,,2077000
1595,"L-TH-1-208: Acquired Property  for Sale in Lot 43, Block 1, Murica St., Camella Tarlac, Phase 1, Brgy. Maliwalo, Tarlac City, Tarlac",,,,44.0,77.0,Camella Tarlac,"Lot 43, Block 1",,,1711600
1596,"FUJI 3BR 2-Storey Single Detached for Sale in Idesia Heights, Dasmariñas Cavite",2.0,3.0,,82.98,120.0,Idesia Heights,,2019.0,,5870000
1597,"Foreclose Property  for Sale in Lot 18, Blk 6 Dona Justina St., Filinvest Homes Subdivison, Biñan, Laguna",,,,358.35,410.0,,,,,8632000
1598,"Bungalow 2 bedroom rfo for sale in bataan in Cataning, Hermosa",1.0,2.0,,37.0,90.0,,B1 L8,,,2133886
1599,House and Lot For Sale in Concepcion Tarlac,2.0,3.0,,120.0,,Altierra de tarlac,B14 L18,,,6074055
1600,"N-R-1-49- Acquired Property for Sale in Lots 2960-A-1-A-1-A and 2960-A-1-A-1-B, Barangay Macasandig, Cagayan de Oro City, Misamis Oriental - Retail",,,,212.0,400.0,,,,,2824000
1601,For Sale: Lot with 5 Bi-Level Townhouse and Basement in Brgy Kapitolyo Pasig,4.0,5.0,2.0,285.0,50.0,,,,,20000000
1602,Affordable Townhouse For Sale In Pilar Las Piñas City,3.0,3.0,1.0,130.0,80.0,Pilar Village,,2020.0,4.0,7100000
1603,Ready For Occupancy House & Lot San Jose Del Monte Bulacan For Sale,2.0,3.0,,94.0,89.0,Amaresa 2,Block 4,,,4407150
1604,Spacious Modern Design Duplex House and Lot with Roof Deck in Las Piñas,3.0,3.0,2.0,350.0,140.0,Pilar Village,,2022.0,4.0,13900000
1605,For Sale Semi-Furnished Elegant Single Detached House in BF Resort Village,7.0,6.0,2.0,370.0,263.0,BF Resort Village,11,2022.0,6.0,27000000
1606,3-Floors House with 6 Bedrooms in Greenwoods Executive Village for Sale,6.0,6.0,3.0,400.0,165.0,Greenwoods Executive Village,,,,24000000
1607,"L-R-1-723- Acquired Property for Sale in Lot 4, Block 4, Road Lot 11, Ciudad Real Subdivision, Brgy. Bantug Norte, Cabanatuan City, Nueva Ecija - Retail",,,,185.0,192.0,,,,,5288000
1608,For Sale Modern Design Brand New Triplex House and Lot in Bf Resort Village,3.0,3.0,1.0,160.0,98.0,BF Resort Village,,2021.0,3.0,7400000
1609,3 Bedrooms Duplex for Sale!!!in Taytay Rizal Greenwoods.. Ready For Occupancy.,3.0,3.0,1.0,140.0,75.0,Greenwoods Executive Village - Taytay,block 8 lot 8,2022.0,3.0,8500000
1610,3 Bedrooms Townhouse for Sale with Maid's Room in Mandaluyong,3.0,3.0,2.0,155.0,,,,,,16950000
1611,For Sale Spacious Brand New Triplex House in Bf Resort Village Las Piñas,3.0,3.0,2.0,197.0,120.0,Bf Resort Village,,2021.0,4.0,9800000
1612,"5 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Ella)",3.0,5.0,,100.0,121.0,Camella Monticello,,,,6975000
1613,"5 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Freya)",3.0,5.0,,142.0,143.0,Camella Monticello,,,,8407000
1614,"M-R-3-472- Acquired Property for Sale in Unit 602, 6/F, Tower B, Villa Sole Condominium, No. 452 E. Rodriguez Ave., Brgy. Santolan / Manggahan, Pasig City - Retail",,,,22.0,,,,,,1674300
1615,"V-TH-1-1- Acquired Property for Sale in Lot 40, Block 14, La Aldea Buena Mactan Subdivision, Brgy. Bagbag, Lapu-Lapu City, Cebu - Retail",,1.0,,54.25,40.0,,,,,1011000
1616,"Foreclosed Property for Sale in No. 21-E, Lot 21-E Franc Street, North Fairview Park Subd. Phase 8, Quezon City",,,,108.0,54.0,,,,,3990000
1617,"Foreclosed Property for Sale in Unit 2 Sierra Madre St., Bermuda Country Homes, Pamplona, Las Pinas City",,,,50.0,48.0,,,,,1750000
1618,"Foreclosed Property for Sale in Block 2 , Lot 4 Unit 168 Plaza Real Townhomes, Brgy. Del Monte, San Francisco Del Monte District, Quezon City",,,,160.0,54.0,,,,,6224000
1619,"Bernice 1BR SA House for Sale at New Leaf in Trece Martires, Cavite | Futura by Filinvest",1.0,1.0,1.0,27.21,69.0,New Leaf,Bernice (SA),,,1260000
1620,"L-R-1-136- Acquired Property for Sale in No. 15 (Lot 2, Block 36) E. Aguinaldo & A. Bonifacio Sts., Brgy. San Vicente/Magsaysay, San Pedro City, Laguna - Retail",,,,179.7,120.0,,,,,2798730
1621,"L-TH-1-163 Acquired Property for Sale in Lot 7, Block 20, Camella St. (Road Lot 22), St. Joseph Village 9, Brgy. Langgam (San Vicente), San Pedro City, Laguna",,,,34.08,60.0,,,,,1152720
1622,"Brahms 3BR SA House for Sale at Mira Valley in Antipolo, Rizal | Aspire by Filinvest",3.0,3.0,2.0,91.92,112.0,Mira Valley,Brahms SA House Model,,,7857000
1623,"M-R-1-204:  Acquired Property  for Sale in Lot 19, Block 10, Glenmont Subdivision, Brgy. Sauyo, San Bartolome, Quezon City",,,,102.0,77.0,,,,,3534000
1624,"L-S-5-201604-26- Acquired Property for Sale in Block 7, Lot 9, Kensington Village, Lancaster New City, General Trias, Cavite - Sub",,,,62.4,50.0,Kensington Village,,,,2218120
1625,"L-R-1-574- Acquired Property for Sale in Lot 10, Block 3, Road Lot 5, Camella Hills of Wedgewood, Phase, Brgy. Minien East, Sta. Barbara, Pangasinan - Retail",,,,60.0,132.0,,,,,1800000
1626,2 Bedrooms House and Lot at Camella Sierra Metro East (Bella Model),2.0,2.0,,53.0,90.0,Camelle Sierra Metro East,,,,5336000
1627,"L-S-5-201604-34- Acquired Property for Sale in Block 13A, Lot 15, Camella Quezon, Brgy. Isabang, Tayabas City, Quezon",,,,43.2,42.0,,,,,1419330
1628,"M-R-2-7- Acquired Property for Sale in No. 26 (Lot 17-B), Priceton St., Provident Village, Brgy. Jesus Dela Peña, Marikina City - Retail",,,,187.0,140.0,,,,,4820412
1629,"Amber 2BR Townhouse for Sale at Austine Homes in Mabalacat, Pampanga | Futura by Filinvest",1.0,2.0,,40.39,43.2,Austine Homes,Amber Townhouse,,,1700000
1630,"L-S-1-201604-40- Acquired Property for Sale in Block 24, Lot 1,corner of Emerald Avenue and Opal St., EMERALD COAST EXECUTIVE VILLAGE, Brgy. Peas/Duale, Limay, Bataan - Sub",,,,141.0,126.0,,,,,2833485
1631,Amber 2BR Townhouse Inner Unit for Sale at Futura Homes Koronadal in South Cotabato | Futura by Filinvest,1.0,2.0,,40.31,50.4,Futura Homes Koronadal,Amber Townhouse Inner Unit - Modern Minimalist,,,1495851
1632,"Foreclosed Property for Sale in Lot 9,Psu-213378 Along Provincial  Brgy Matipok Calaca Batangas",,,,56.0,3699.0,,,,,7498000
1633,3 Bedrooms House and Lot for sale at Camella Sierra Metro East (Cara Model),2.0,3.0,,66.0,90.0,Camelle Sierra Metro East,,,,5739000
1634,"L-R-1-82- Acquired Property for Sale in No. 48 (Lot 8082-A-4-H-5-F), Bautista Compound, Dasmaville Subdivision, Zone 1, Brgy. San Jose, Dasmari",,,,161.0,100.0,,,,,2900000
1635,"Foreclosed Property for Sale in Block 6, Lot 14 & 15 Block 6,Canetown Subdivision, Brgy. Xix-A, Victorias City, Negros Occidental",,,,247.0,523.0,,,,,2600000
1636,"Foreclosed Property for Sale in Block 1, Lot 3, Camella Cerritos East Brgy Sto Niño Tugbok District Davao City",,,,80.0,99.0,,,,,3440000
1637,"Foreclosed Property for Sale in Block 11, Lot 2 Genoa St., La Mirande Subd., Brgy. Lumbia, Cagayan De Oro City, Misamis Oriental",,,,128.0,172.0,,,,,4174000
1638,"L-R-1-79- Acquired Property for Sale in Lot 11, Block 3, Barcelona St., Maravilla Subd., Brgy. De Fuego/San Francisco, Gen. Trias, Cavite - Retail",,,,83.9,96.0,,,,,2698500
1639,"M-R-1-4- Acquired Property for Sale in Lot 23, Block 17, Titan St., Sunriser Village, Brgy. Camarin, Caloocan City - Retail",,,,360.0,120.0,,,,,4900000
1640,"Foreclose Property  for Sale in Lots 4A & 4B, Block 2, Nuestra Senora Del Carmen St., Sto. Niño Executive Homes, Brgy. Tres Poblacion, Cabuyao, Laguna",,,,201.0,105.0,,,,,2697000
1641,3 Bedroom House and Lot in Bellefort Estates (Charlotte Model) ,3.0,5.0,,65.0,110.0,Bellefort Estates,,,,6355169
1642,4 Bedroom House and Lot Unit in Bellefort Estates (Sabine Model) ,2.0,4.0,,85.0,110.0,Bellefort Estates,,,,7576200
1643,2 Storey Single Detached House in Levitown Betterliving Parañaque City,6.0,6.0,2.0,236.0,210.0,Levitown Executive,2/3,2022.0,7.0,18500000
1644,"Sale Martini Model House and lot for sale in Santa Rosa, Laguna",2.0,3.0,,100.0,120.0,Valenza,,,,13000000
1645,For Sale Graceful Big House and Lot in Bf Homes Parañaque City,5.0,5.0,2.0,400.0,280.0,BF Homes Parañaque,,2021.0,5.0,30000000
1646,For Sale Beautiful Modern Single Detached Five (5) Bedrooms in Parañaque,5.0,5.0,2.0,375.0,282.0,BF Homes Parañaque,156,2021.0,5.0,27500000
1647,"2 Bedroom House and Lot Unit at Celestis 1 in Antipolo, Rizal (End)",2.0,3.0,,76.0,79.0,Celestis 1,,,,5760882
1648,"3 Bedroom House and Lot Unit at Celestis 1 in Antipolo, Rizal (Corner)",2.0,3.0,,76.0,70.0,Celestis 1,,,,5760982
1649,mixed modern-classic italian house and lot in portofino heights las piñas city,5.0,5.0,4.0,380.0,314.0,Portofino,22,2021.0,5.0,45000000
1650,modern design duplex house in katarungan muntinlupa,3.0,3.0,2.0,140.0,77.0,katarungan,711,2020.0,3.0,7200000
1651,For sale 2 Storey Single Detached House and Lot (Corner) In San Pedro Laguna,4.0,6.0,1.0,210.0,241.0,Filinvest,15A,2022.0,,15000000
1652,Newly Built 2-Storey Modern House and Lot For Sale in Bf Homes Parañaque,4.0,4.0,2.0,380.0,232.0,BF Homes Parañaque,,2021.0,4.0,26500000
1653,"Gracious Morning Sun House and Lot for Sale in BF Homes, Parañaque City",5.0,5.0,4.0,350.0,304.0,BF Homes Parañaque,45,2021.0,5.0,32800000
1654,GAIA 2-Storey Single Detached (Irregular) for Sale in Idesia Dasmariñas Phase 1,2.0,3.0,,63.0,103.0,Idesia Dasmariñas Phase 1,,2019.0,,5600000
1655,GAIA 2-Storey Single Detached (Irregular) for Sale in Idesia Dasmariñas Phase 2,2.0,3.0,,63.0,143.0,Idesia Dasmariñas Phase 2,,2019.0,,5800000
1656,Teacher's Village Quezon City 3-storey Townhouse,4.0,4.0,2.0,270.0,101.25,Teacher's Village,Unit D,,,23000000
1657,For sale Modern House and Lot In BF Resort Village Las Piñas,3.0,3.0,1.0,152.0,73.0,,,,,9000000
1658,Nice and Spacious Duplex House and Lot For Sale in BF Homes Parañaque ,4.0,4.0,2.0,200.0,140.0,BF Homes Parañaque,,2021.0,4.0,15700000
1659,"For Sale 2-Bedroom Townhouse-Inner Vista Rosa, Soro-Soro, Biñan",1.0,2.0,,81.0,53.0,Vista Rosa,02A 01,,,3315200
1660,"N-R-1-76:  Acquired Property  for Sale in Lot 11, Block 19, Camella Tagum Subdivision, Brgy. Visayan Village, Tagum City, Davao del Norte",,,,40.0,60.0,,,,,1270000
1661,Brand New Modern Single Dettached House and Lot For Sale in Grand Parkplace Imus,4.0,4.0,2.0,220.41,180.0,Grand Parkplace,36/54,2022.0,4.0,10800000
1662,"Foreclosed Property for Sale in Block 17, Lot 25 The Ridges, Canyon Ranch Subdivision, Phase 1, Barangay Lantic, Carmona, Cavite",,,,375.0,493.0,,,,,27620000
1663,"M-R-3-338- Acquired Property for Sale in Unit 4C Da Vinci Tower of Presidio at Lakefront (Britanny Bay) Condominium, Brgy. Sucat, Muntinlupa City - Retail",,,,41.55,,,,,,2908500
1664,"Foreclosed Property for Sale in Mc Arthur Ave.,Cor Kennedy Way St., Mc Arthur Villagebrgy Longos Malolos Bulacan",,,,212.0,177.0,,,,,3057000
1665,"L-R-1-1129- Acquired Property  for Sale in Lot 6, Block 12 Pcs-04-028918, corner of Bataan and Palawan Sts., Villas del Pueblo Subdivision, Phase 1, Brgy. Buli, Taal, Batangas",,,,71.3,89.0,,,,,2939274
1666,"Foreclosed Property for Sale in Block 7, Lot 7 Along Rd. Lot 3, Inside Camella Lessandra San Jose Del Monte, Kaypian Sto. Cristo,  San Jose",,,,46.0,66.0,,,,,1932000
1667,"L-R-1-339- Acquired Property for Sale in Lot 39, Block 5, Italy Street, Ivory Crest Village, Brgy. Salitran, Dasmari",,,,116.0,55.0,,,,,2299000
1668,"L-R-1-939- Acquired Property for Sale in Lots 17, 18 and 19, Block 1, Bucharest St., Eastville Subdivision, Filinvest Homes East, Brgy. Munting Dilao, Cainta, Rizal",,,,668.0,747.0,,,,,25147600
1669,"ARIA Townhouse (Inner) for Sale in Idesia Lipa, Batangas",1.0,2.0,,42.0,60.0,Idesia Lipa,,2020.0,,2800000
1670,"ARIA RFO Townhouse for Sale in Idesia Dasmariñas Ph1, Special Discount 269K -Blk10 Lot9",1.0,2.0,,42.0,60.0,Idesia Dasmariñas Phase 1,Blk 10 Lot 9,,,2239999
1671,"L-S-1-201604-88- Acquired Property for Sale in Block 12, Lot 9, Camella Quezon, Brgy. Isabang, Tayabas City, Quezon",,,,110.0,110.0,,,,,4022700
1672,Elegant Single House For Sale in BF Resort Village Las Piñas City,4.0,4.0,,255.0,185.0,BFRV,28/32,,,23000000
1673,For Sale Modern Two (2) Storey Elegant Modern House in BF Homes Parañaque City,4.0,4.0,2.0,320.0,288.0,BF Homes,32/12,2021.0,4.0,29500000
1674,5 Bedroom House and Lot Unit for sale at Camella Calamba (Gretta Model),3.0,5.0,,166.0,156.0,Camella Calamba,,,,9647000
1675,"House Hotel Resort Boracay For Sale in Yapak, Malay",,,,2880.0,3836.0,,,,22.0,310000000
1676,For Sale Old Bungalow House in Phil-Am Life Village Las Piñas,4.0,4.0,,350.0,520.0,Phil-Am Life Village,25/30,,,28000000
1677,"L-C-1-33 - Acquired Property for Sale in Lot 10714-B, President Jose P. Laurel Highway, Brgy. Bugtong na Pulo, Lipa City, Batangas (with Authority to Sell)",,,,97.0,1708.0,,,,,410000000
1678,Mckinley Hill Village 3 Storey House For Sale in Taguig City nr. BGC and Fort,6.0,5.0,4.0,513.0,189.0,McKinley Hill Village,,,,130000000
1679,"Magallanes Village 5 Bedroom House for Sale in Makati Nr. Greenbelt Mall,BGC",4.0,5.0,1.0,332.0,353.0,Magallanes Village,,,,129000000
1680,"L-R-1-1034-Acquired Property for Sale in Lot 11, Block 9, Antique St., Villas del Pueblo, Brgy. Buli, Taal, Batangas",,,,63.0,73.0,,,,,2105600
1681,"3BR House for Sale in Mahogany Place 1, Taguig - RS4441082",3.0,3.0,4.0,548.81,224.0,,,,,55000000
1682,"L-TH-1-165- Acquired Property for Sale in Lot 5, PCS-04-026829, Bologna St., Cosmopolitan Homes, Brgy. Bocohan, Lucena City",,,,43.0,65.0,,,,,1376000
1683,brand new house and lot with modern design finished and very accessible ,5.0,5.0,2.0,320.0,150.0,multinational,7/8,2021.0,5.0,30000000
1684,"Townhouse for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal",2.0,2.0,,88.0,60.0,Sunrise Alexa Subdivision,,,,4070000
1685,"2 Bedroom House and Lot at Lessandra Monticello in San Jose del Monte, Bulacan",1.0,2.0,,50.0,79.0,Lessandra Monticello,,,,3966000
1686,"Plan 6 House and Lot at Prominence II, Biñan, Laguna",,3.0,,140.0,,Prominence II,,,,23000000
1687,"V-R-2-50- Acquired Property for Sale in Lot 5, Block 5, Orchid Street, Villa Angeles Subdivision, Brgy. Estefania, Bacolod City, Negros Occidental - Retail",,,,311.0,3076.0,,,,,10163900
1688,"Foreclosed Property for Sale in Block 6, Lot 14 Montrose Street, Canyon Ranch Phase 2, Brgy. Lantic, Carmona Cavite",,,,59.0,77.0,,,,,3403000
1689,"L-R-1-612- Acquired Property for Sale in Lot 6, Block 6, Road Lot 6, Villa de Oro Subdivision, Brgy. Tagapo, Santa Rosa, Laguna - Retail",,,,264.0,88.0,,,,,4796000
1690,House and lot 3 bedrooms for sale in Camella,2.0,3.0,,56.0,50.0,aventine subdivision,gianna inner unit,,,10598000
1691,"M-R-2-21- Acquired Property for Sale in Unit 2 / No. 263 (Lot 326-L-1), Saludes Townhomes, No. 263 Argao Drive, Brgy. Baesa, Balintawak Dist., Quezon City - Retail",,1.0,,276.0,,,,,,7374000
1692,"L-R-1-794- Acquired Property for Sale in No. 589 (Lot 13, Block 7), New City Subdivision, Phase 2, Brgy. San Roque / 1B, San Pablo City, Laguna - Retail",,,,209.0,225.0,,,,,3789800
1693,"L-R-1-1021- Acquired Property for Sale in Lot 9-B, PSD-04-196771, Brgy. Dagatan, Purok 2, Dolores, Quezon",,,,134.0,115.0,,,,,2306000
1694,"2 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Alli)",1.0,2.0,,40.0,88.0,Camella Monticello,,,,3991000
1695,"Tulip 3BR House for Sale at Hampton Orchards in Bacolor, Pampanga | Aspire by Filinvest",3.0,3.0,,82.0,378.0,Hampton Orchards,Tulip,,,4838899
1696,"Foreclosed Property for Sale in Lot 2-E, Unnamed Road, Deux Pointe, Crosswinds Subdivision, Baranagy Iruhin Central, Tagaytay City, Province Of Cavite.",,,,205.0,178.0,,,,,15745000
1697,"Foreclosed Property for Sale in Block 3, Lot 35 Mankor Homes Subd., Brgy. Gaya-Gaya, San Jose Del Monte, Bulacan",,,,276.0,178.0,,,,,4430000
1698,"L-R-1-121- Acquired Property for Sale in No. 135 (Lot 385-A), San Isidro St., Brgy. San Isidro, Calauan, Laguna - Retail",,,,236.0,324.0,,,,,3879900
1699,"Foreclosed Property for Sale in Block 28, Lot 11, Carmel Village Phase 2 Brgy Majada Calamba City Laguna",,,,48.0,80.0,,,,,1477300
1700,"Foreclosed Property for Sale in Block 17, Lot 9 Merida Street, Camella Leyte Subdivision, Brgy. Campetic, Iloilo City",,,,65.0,90.0,,,,,2770000
1701,House and lot for sale  with commercial spaces,2.0,4.0,4.0,66.0,66.0,bagumbong caloocan city,villa luisa north,,,3500000
1702,"Foreclosed Property for Sale in Block 28, Lot 21, Carmel Village Phase 2 Brgy Majada Calamba City Laguna",,,,48.0,80.0,,,,,1477300
1703,"Foreclosed Property for Sale in Lot 59-A, Gumamela Street, Town & Country Executive Village, Brgy. Mayamot, Antipolo City, Rizal",,,,115.0,91.0,,,,,4715000
1704,3 BR 2CG Townhouse for sale in Tandang Sora near Mindanao Avenue Quezon City ,3.0,3.0,2.0,117.0,60.0,,#12,2021.0,3.0,7400000
1705,"M-R-3-1202- Acquired Property for Sale in Unit 507, 5/F, Sapphire Building 6A, Fini Homes Condominium, No. 80, Ramon Delfin St., Brgy. Marulas, Valenzuela City - Sub",,,,51.32,,,,,,2655810
1706,"L-R-1-661- Acquired Property for Sale in Lot 17, Block 9-B, Road Lot 10, St. Michael's Homes, Brgy. San Rafael, Tarlac City, Tarlac - Retail",,,,165.0,150.0,,,,,3232500
1707,"L-R-1-641- Acquired Property for Sale in Lot 41, Block 13, Melcon St., Riverina Subdivision, Brgy. San Rafael & Macampon, San Pablo, Laguna - Retail",,,,155.05,150.0,,,,,4342110
1708,"Foreclosed Property for Sale in Block 3, Lot 21,Sunset Boulevard Drive Beverly Hills Subdivision Brgy Kayumangi Lipa City Batangas",,,,222.0,193.0,,,,,6900000
1709,"Foreclosed Property for Sale in Block 5, Lot 6  Jasmin Street, Summerfield Esat, Brgy. San Juan, Taytay Rizal",,,,92.0,90.0,,,,,3224000
1710,"Foreclosed Property for Sale in Lot 40-E-7,No 171 Rose Street Josefaville Subdivision Brgy Panilao Pilar Bataan",,,,290.0,243.0,,,,,4189000
1711,"For Sale : Prime Townhouse Property along Palma Street, Poblacion, Makati City",3.0,6.0,1.0,456.0,600.0,,,,3.0,210000000
1712,"Foreclose Property  for Sale in Lot 117, Block 1, Camella-Montserrat Subdivision, Brgy. Pajac, Lapu Lapu City, Cebu",,,,61.5,129.0,,,,,3567000
